tool_name,organization,website,assessment_type,perimeters,environmental_indicators,functional_Units,life_cycle_step,licence,self-hostable,originating_country,logo,methodology_transparency,inside_model,main_scientific_sources,main_focus,focus,quick_description,status,last_edit,last_editor
Carbonifer,Carbonifer,https://carbonifer.io/,Evaluation,Cloud,GWP (CO2eq),Machine,,,Yes,France,,,,0,,,,Sandbox,,Gaël Duez
Cloud Carbon Footprint,Thoughtworks,https://www.cloudcarbonfootprint.org/,Evaluation,Cloud,GWP (CO2eq),"Project,Application,Team,Machine","Extraction,Manufacturing,Usage",Open-Source (Apache 2.0),Yes,USA,,Fully Disclosed,,0,Reporting,"Collection,Calculation,Reporting",,Draft,2023-12-18,Gaël Duez
Cloud-Scanner,Boavizta,https://boavizta.github.io/cloud-scanner/,Evaluation,Cloud,"ADPf (MJ),ADPe (Sbeq),Primary Energy (J),Water Depletion,GWP (CO2eq)","Machine,Project,Team","Extraction,Manufacturing,Usage,End of Life",Open-Source (AGPLv3),Yes,France,cloudscanner_color.png(https://db.boavizta.org/dltemp/Sp-9pHhXULILwLtG/1710466800000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/caHDXSfRwHE4wVX45D.png),Fully Disclosed,See BoaviztAPI,0,Calculation,"Reporting,Calculation,Collection",,Draft,2023-12-18,Gaël Duez
Cloud-assess,Resilio / Kleis Technology,https://www.cloudassess.org/,Evaluation,Backend,"Water Depletion,GWP (CO2eq),ADPf (MJ),ADPe (Sbeq),Primary Energy (J),Final Energy (J/Wh)","Machine,Room,Project,Application","Extraction,Manufacturing,Transport,Usage,End of Life",Open-Source (Apache 2.0),Yes,Switzerland,,Disclosed - Internal / Clients,,0,Calculation,"Reporting,Calculation,Awareness",,Draft,2024-02-14,Benoit Petit
Cloud-carbon,re-cinq,https://github.com/re-cinq/cloud-carbon,Evaluation,Cloud,GWP (CO2eq),Application,Usage,Open-Source (Apache 2.0),Yes,Denmark,,TBQ,,0,,,A open telemetry exporter to calculate the carbon emissions generated by your cloud infrastructure,Sandbox,2024-02-02,Gaël Duez
Code Carbon,Data For Good,https://codecarbon.io/,"Measure,Evaluation",,,,,,Yes,France,,,,0,,,,,,Gaël Duez
Digital Carbon Ratings,Sustainable Web Design,https://sustainablewebdesign.org/digital-carbon-ratings/,,,,,,,,USA,,,,0,,,,Sandbox,,Gaël Duez
E-footprint,Boavizta,https://pypi.org/project/efootprint/,Evaluation,"Backend,Devices,API,Web Apps,Mobile Apps",GWP (CO2eq),Application,,Open-Source (AGPLv3),Yes,France,,Fully Disclosed,,0,Calculation,Awareness,A toolkit for exhaustively modeling the environmental impact of digital services.,Sandbox,2024-02-14,Youen Chéné
Eco2AI,,,,,,,,,Yes,,,,,0,,,,,,Gaël Duez
EcoCI,Green Coding Berlin,,,CI/CD,,"User Story,Request (HTTP),Feature,Project,Team,Application",,,Yes,Germany,,,,0,,,,,,Gaël Duez
EcoCode,Fondation Ecocode,https://ecocode.io,BestPractices,"Backend,Mobile Apps",Not Applicable,"Feature,Application,Request (HTTP),Network Traffic",Not Applicable,Open-Source (GPLv3),Yes,France,,Fully Disclosed,,0,Eco-design,Eco-design,,Draft,2023-12-18,Gaël Duez
EcoDiag,EcoInfo CNRS,https://ecoinfo.cnrs.fr/ecodiag-calcul/,,,,,,,,,,,,0,,,,,,Gaël Duez
EcoIndex,Greenit.fr,https://www.ecoindex.fr/,"Evaluation,BestPractices","Development,Web Content","GWP (CO2eq),Final Energy (J/Wh),Water Depletion","Request (HTTP),Website,Network Traffic","Usage,Manufacturing,Extraction",Open-Source - Unkown,Yes,France,,Undisclosed,,0,Eco-design,"Collection,Eco-design,Calculation,Reporting",,Draft,2023-12-18,Gaël Duez
Ecobenchmark-applicationweb-backend,Boavizta,https://github.com/Boavizta/ecobenchmark-applicationweb-backend,"Evaluation,Measure","Backend,Development,API,Web Apps",Final Energy (J/Wh),"Application,Feature,Request (HTTP),User Story","Usage,Manufacturing",Open-Source (AGPLv3),Yes,France,,Fully Disclosed,,0,Eco-design,"Reporting,Calculation,Awareness,Eco-design",,Draft,2024-02-14,Benoit Petit
Ecograder,Mightybyte?,https://ecograder.com/,,,,,,,,,,,,0,,,,Sandbox,,Gaël Duez
Emission Impact Dashboard,Microsoft,,,,,,,,,,,,,0,,,,,,Gaël Duez
Fruggr,Digital4Better,https://www.fruggr.io/,"Evaluation,BestPractices","Information System,Web Apps",GWP (CO2eq),"Network Traffic,Application",Usage,Closed Source / Commercial,No,France,,Undisclosed,,0,Reporting,"Awareness,Collection,Reporting,Calculation",,Draft,2023-12-18,Gaël Duez
Google Cloud Carbon Footprint,Google,https://cloud.google.com/carbon-footprint,,,,,,,,USA,,,,0,,,,,,Gaël Duez
Green Web Directory,Green Web Foundation,https://app.greenweb.org/directory/,Evaluation,Datacenter,GWP (CO2eq),Website,Usage,Open-Source (Apache 2.0),Yes,European Union,,Fully Disclosed,,0,Reporting,Awareness,Green Web Directory is a searchable list of verified green hosting providers which enables people to quickly find organisations they can buy services from.,Draft,2024-02-02,Gaël Duez
GreenPixie,,https://greenpixie.com/,Evaluation,Cloud,GWP (CO2eq),"Application,Project,Team","Manufacturing,Usage",Closed Source / Commercial,No,United Kingdom,,,,0,,,,,,Gaël Duez
GreenTrackr,Concerto,https://conserto.pro/greentrackr/,,,,,,,,,,,,0,,,,Sandbox,,Gaël Duez
Greenbids,Greenbids,https://www.greenbids.ai/,Evaluation,Advertising,GWP (CO2eq),,,,,France,,,,0,,,,Sandbox,2024-03-11,Gaël Duez
Greenframe,Marmelab,https://greenframe.io/,Evaluation,,,,,,,France,,,,0,,,,,,Gaël Duez
Greenie Web,Greenie Web,https://www.greenieweb.co/,Evaluation,Web Content,GWP (CO2eq),Application,Usage,Closed Source / Commercial,No,Singapore,greenie%20web%20logo.png(https://db.boavizta.org/dltemp/Lpr0S3RJtOdtoQRg/1710466800000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/5p-IyCTN0pt6EC0S7c.png),Undisclosed,,0,Eco-design,"Reporting,Eco-design,Collection,Calculation",,Draft,2023-12-18,Gaël Duez
Greenly,,,,,,,,Closed Source / Commercial,No,,,,,0,,,,Sandbox,,Gaël Duez
Greenoco,Greenoco,https://greenoco.io/,Evaluation,Web Content,,"Network Traffic,Request (HTTP)",,Closed Source / Commercial,No,France,,Undisclosed,,0,Eco-design,Calculation,,Sandbox,2024-02-14,Youen Chéné
Greenspector,,https://greenspector.com/en/home/,"Evaluation,Measure","Devices,Development,Web Apps","Final Energy (J/Wh),GWP (CO2eq)","Request (HTTP),Application,Website,User Story,Feature","Usage,Manufacturing",Closed Source / Commercial,No,France,,Undisclosed,,0,Eco-design,"Calculation,Reporting,Awareness,Eco-design,Collection",,Draft,2024-02-14,Benoit Petit
JoularJX,,https://github.com/joular/joularjx,,"Datacenter,Development,CI/CD",,"Process (System),Application,Machine",Usage,,Yes,,,,,0,,,,,,Last editor
Kepler,Cloud Native Computing Foundation,https://sustainable-computing.io/,Measure,Cloud,Final Energy (J/Wh),Process (System),Not Applicable,,,USA,,,,0,,,"Kepler (Kubernetes-based Efficient Power Level Exporter) is a Prometheus exporter. It uses eBPF to probe CPU performance counters and Linux kernel tracepoints.

These data and stats from cgroup and sysfs can then be fed into ML models to estimate energy consumption by Pods.",Draft,2024-02-02,Gaël Duez
Lowtus?,,,,,,,,,,,,,,0,,,Solution listée dans le panorama Aelan mais inconnue,Sandbox,,Gaël Duez
Muchas Glacias,,,,,,,,,No,,,,,0,,,,,,Last editor
MyITFootprint,Aguaro,https://aguaro.io/fr,Evaluation,"Devices,Information System,Datacenter",GWP (CO2eq),"Project,Team,Room,Machine","Manufacturing,Usage",Closed Source / Commercial,No,France,,,,0,Reporting,"Reporting,Calculation,Awareness,Collection",,Draft,2024-02-11,Benoit Petit
NumEcoVal,"MTE, Sopra Steria",https://gitlab-forge.din.developpement-durable.gouv.fr/pub/numeco/m4g/numecoeval,Evaluation,"Web Apps,API",,,"Extraction,Manufacturing,Usage",Open-Source (Apache 2.0),Yes,,,,,0,,,,,2024-02-14,Youen Chéné
PCM,Intel,https://github.com/intel/pcm,Measure,"Datacenter,Development,Devices",Final Energy (J/Wh),"Process (System),Machine,Application",Usage,Open-Source (BSD-3),Yes,,,,,0,,,,Draft,2024-02-14,Benoit Petit
Pagiel,Zenika,https://github.com/Zenika/pagiel,"Evaluation,Measure","CI/CD,Development","Water Depletion,Final Energy (J/Wh),GWP (CO2eq)","Application,Feature",Usage,Open-Source (GPLv3),Yes,France,,Fully Disclosed,,0,Calculation,"Calculation,Collection,Eco-design",,Draft,2023-12-18,Last editor
Power API,Romain Rouvoy / Spirals Team / INRIA Lille,https://powerapi.org/,"Measure,Evaluation","Datacenter,Backend,Development",Final Energy (J/Wh),"Process (System),Machine,Application",Usage,Open-Source (BSD-3),Yes,France,PowerAPI-logo.png(https://db.boavizta.org/dltemp/A8bX04Qp2JQUKygc/1710466800000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/Li-4Udst8dvEpfJonT.png),Fully Disclosed,RAPL and home made model,0,Calculation,"Reporting,Calculation,Awareness,Eco-design,Collection",,Draft,2024-02-14,Benoit Petit
PowerJoular,Adel Nourredine / Université de Pau et des Pays de l'Adour,https://www.noureddine.org/research/joular/powerjoular,"Measure,Evaluation","Backend,Development,CI/CD,Datacenter,IoT",Final Energy (J/Wh),"Process (System),Application,Machine",Usage,Open-Source (GPLv3),Yes,France,powerjoular.png(https://db.boavizta.org/dltemp/N-JWsMQGRKPzMGed/1710466800000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/qg0FbmIgERwFW0OmGK.png),Fully Disclosed,RAPL and home made model for ARM CPUs,0,Calculation,"Calculation,Reporting,Awareness,Eco-design,Collection",,Draft,2024-02-14,Benoit Petit
Powertop,"Arjan van de Ven ",https://github.com/fenrus75/powertop,"Evaluation,Measure,BestPractices",Devices,Final Energy (J/Wh),"Application,Process (System),Machine",Usage,Open-Source (GPLv2),Yes,,,Fully Disclosed,,0,Awareness,"Calculation,Awareness,Reporting",,Draft,2024-02-14,Benoit Petit
ResilioDB,Resilio,https://db.resilio.tech/,Evaluation,"Devices,Datacenter","GWP (CO2eq),Water Depletion",Machine,"Extraction,Manufacturing,Usage,End of Life",Closed Source / Commercial,No,Switzerland,,Disclosed - Internal / Clients,,0,Calculation,Calculation,,Draft,2023-12-18,Gaël Duez
Scaphandre,Hubblo,https://hubblo-org.github.io/scaphandre/,"Measure,Evaluation","Datacenter,CI/CD,Backend,Development",Final Energy (J/Wh),"Machine,Application,Process (System)",Usage,Open-Source (Apache 2.0),Yes,France,4.png(https://db.boavizta.org/dltemp/IBeUVz8DCLNsKOjJ/1710466800000/noco/p_nck134abueisqs/md_kvka0tcnh8dyrw/c7dg4sg7uv2ica7/Hkp5wCSzOb96Kr1OHZ.png),Fully Disclosed,RAPL,0,Calculation,"Calculation,Collection,Eco-design,Awareness,Reporting",,Draft,2023-12-18,Benoit Petit
Sentry Software,Sentry Software,https://www.sentrysoftware.com/,Measure,Datacenter,Final Energy (J/Wh),Machine,Usage,Closed Source / Commercial,Yes,France,,Disclosed - Internal / Clients,,0,Reporting,"Reporting,Calculation,Awareness,Collection",,Draft,2024-02-14,Benoit Petit
SoftAWERE,"SDIA, Boavizta",https://softawere-hackathon.gitlab.io/documentation/,"Evaluation,Measure","CI/CD,Development","GWP (CO2eq),ADPf (MJ),Final Energy (J/Wh)","Application,Project,Team,User Story,Feature,Process (System)","Extraction,Manufacturing,Usage",Open-Source (AGPLv3),Yes,Germany,,Fully Disclosed,See Scaphandre and BoaviztAPI,0,Eco-design,"Eco-design,Awareness,Calculation,Reporting,Collection",,Draft,2024-02-14,Benoit Petit
SoftwareLifecycleEnvImpact,Orange,https://github.com/Orange-OpenSource/SoftwareLifecycleEnvImpact,Evaluation,Development,,"Project,Team,Application","Extraction,Manufacturing,Transport,Usage,End of Life",Open-Source (BSD-3),Yes,France,,Fully Disclosed,,0,Calculation,"Calculation,Awareness",,Draft,2024-02-14,Benoit Petit
Sopht,Sopht,https://sopht.com/,Evaluation,,,,,,,,,,,0,,,,,2024-02-16,Benoit Petit
Tanaguru Engine,Tanaguru,https://www.tanaguru.com/en/open-source-tools-tanaguru/,,,,,,,,,,,,0,,,,Not to be listed,,Gaël Duez
Verdikt,Verdikt,https://verdikt.io/,,,,,,Closed Source / Commercial,,,,,,0,,,,Sandbox,,Gaël Duez
WeNR,ISIT,https://wenr.isit-europe.org/,Evaluation,Information System,,,,Open-Source - Unkown,No,France,,,,0,,,"WeNR is a tool for measuring the footprint of organisations’ IT systems. This tool enables any type of organisation to analyse where the environmental impacts are and to measure their level of Sustainable IT maturity, based on the triptych People-Planet-Prosperity. For this purpose, ISIT proposes a tool based on open and public data.",Sandbox,2024-02-02,Gaël Duez
greenframe-cli,Marmelab,https://github.com/marmelab/greenframe-cli,Evaluation,"Development,Web Apps","GWP (CO2eq),Final Energy (J/Wh)","Request (HTTP),User,Feature,Application",Usage,Business Source (non permissive licence),Yes,France,,Fully Disclosed,,0,Eco-design,"Collection,Calculation,Eco-design,Reporting",,Draft,2023-12-18,Last editor
